      year     month  %cAreaEU     SevDE
      1977         1   100.000     0.983
      1977         2   100.000     0.983
      1977         3   100.000     0.983
      1977         4   100.000     0.983
      1977         5   100.000     0.983
      1977         6   100.000     0.966
      1977         7   100.000     0.965
      1977         8   100.000     0.953
      1977         9   100.000     0.936
      1977        10   100.000     0.943
      1977        11    31.818     0.284
      1977        12    22.727     0.202
      1978         1    45.455     0.390
      1978         2    27.273     0.236
      1978         3     0.000     0.000
      1978         4     0.000     0.000
      1978         5     0.000     0.000
      1978         6     0.000     0.000
      1978         7     0.000     0.000
      1978         8     0.000     0.000
      1978         9     0.000     0.000
      1978        10     0.000     0.000
      1978        11     0.000     0.000
      1978        12     0.000     0.000
      1979         1     0.000     0.000
      1979         2     0.000     0.000
      1979         3     0.000     0.000
      1979         4     0.000     0.000
      1979         5     0.000     0.000
      1979         6     0.000     0.000
      1979         7    86.364     0.721
      1979         8     0.000     0.000
      1979         9     0.000     0.000
      1979        10    95.455     0.828
      1979        11     0.000     0.000
      1979        12     0.000     0.000
      1980         1     0.000     0.000
      1980         2     0.000     0.000
      1980         3     0.000     0.000
      1980         4     0.000     0.000
      1980         5     0.000     0.000
      1980         6     0.000     0.000
      1980         7     0.000     0.000
      1980         8     0.000     0.000
      1980         9     0.000     0.000
      1980        10     0.000     0.000
      1980        11     0.000     0.000
      1980        12     0.000     0.000
      1981         1     0.000     0.000
      1981         2     0.000     0.000
      1981         3     0.000     0.000
      1981         4     0.000     0.000
      1981         5     0.000     0.000
      1981         6     0.000     0.000
      1981         7     0.000     0.000
      1981         8     0.000     0.000
      1981         9     0.000     0.000
      1981        10     0.000     0.000
      1981        11     0.000     0.000
      1981        12     0.000     0.000
      1982         1     0.000     0.000
      1982         2     0.000     0.000
      1982         3     0.000     0.000
      1982         4     0.000     0.000
      1982         5     0.000     0.000
      1982         6     0.000     0.000
      1982         7     0.000     0.000
      1982         8     0.000     0.000
      1982         9     0.000     0.000
      1982        10     0.000     0.000
      1982        11     0.000     0.000
      1982        12     0.000     0.000
      1983         1     0.000     0.000
      1983         2     0.000     0.000
      1983         3     0.000     0.000
      1983         4     0.000     0.000
      1983         5     0.000     0.000
      1983         6     0.000     0.000
      1983         7     0.000     0.000
      1983         8    40.909     0.335
      1983         9    90.909     0.769
      1983        10    59.091     0.488
      1983        11   100.000     0.935
      1983        12   100.000     0.892
      1984         1    54.545     0.446
      1984         2     0.000     0.000
      1984         3     0.000     0.000
      1984         4     0.000     0.000
      1984         5     0.000     0.000
      1984         6     0.000     0.000
      1984         7     0.000     0.000
      1984         8     0.000     0.000
      1984         9     0.000     0.000
      1984        10     0.000     0.000
      1984        11     0.000     0.000
      1984        12     0.000     0.000
      1985         1     0.000     0.000
      1985         2     0.000     0.000
      1985         3     0.000     0.000
      1985         4     0.000     0.000
      1985         5     0.000     0.000
      1985         6     0.000     0.000
      1985         7     0.000     0.000
      1985         8     0.000     0.000
      1985         9     0.000     0.000
      1985        10    95.455     0.817
      1985        11    90.909     0.772
      1985        12    50.000     0.406
      1986         1     0.000     0.000
      1986         2     0.000     0.000
      1986         3     0.000     0.000
      1986         4     0.000     0.000
      1986         5     0.000     0.000
      1986         6     0.000     0.000
      1986         7     0.000     0.000
      1986         8     0.000     0.000
      1986         9     0.000     0.000
      1986        10     0.000     0.000
      1986        11     0.000     0.000
      1986        12     0.000     0.000
      1987         1     0.000     0.000
      1987         2     0.000     0.000
      1987         3     0.000     0.000
      1987         4     0.000     0.000
      1987         5     0.000     0.000
      1987         6     0.000     0.000
      1987         7     0.000     0.000
      1987         8     0.000     0.000
      1987         9     0.000     0.000
      1987        10     0.000     0.000
      1987        11     0.000     0.000
      1987        12     0.000     0.000
      1988         1     0.000     0.000
      1988         2     0.000     0.000
      1988         3     0.000     0.000
      1988         4     0.000     0.000
      1988         5     0.000     0.000
      1988         6     0.000     0.000
      1988         7     0.000     0.000
      1988         8     0.000     0.000
      1988         9     0.000     0.000
      1988        10     0.000     0.000
      1988        11     0.000     0.000
      1988        12     0.000     0.000
      1989         1     0.000     0.000
      1989         2     0.000     0.000
      1989         3     0.000     0.000
      1989         4     0.000     0.000
      1989         5     0.000     0.000
      1989         6    40.909     0.337
      1989         7    72.727     0.612
      1989         8     0.000     0.000
      1989         9     0.000     0.000
      1989        10     0.000     0.000
      1989        11     0.000     0.000
      1989        12     0.000     0.000
      1990         1     0.000     0.000
      1990         2     0.000     0.000
      1990         3     0.000     0.000
      1990         4     0.000     0.000
      1990         5    36.364     0.301
      1990         6     0.000     0.000
      1990         7     0.000     0.000
      1990         8    50.000     0.412
      1990         9     0.000     0.000
      1990        10     0.000     0.000
      1990        11     0.000     0.000
      1990        12     0.000     0.000
      1991         1     0.000     0.000
      1991         2     0.000     0.000
      1991         3     0.000     0.000
      1991         4   100.000     0.843
      1991         5     0.000     0.000
      1991         6     0.000     0.000
      1991         7     0.000     0.000
      1991         8    59.091     0.489
      1991         9   100.000     0.893
      1991        10    54.545     0.453
      1991        11     0.000     0.000
      1991        12     0.000     0.000
      1992         1     0.000     0.000
      1992         2     0.000     0.000
      1992         3     0.000     0.000
      1992         4     0.000     0.000
      1992         5     0.000     0.000
      1992         6     0.000     0.000
      1992         7     0.000     0.000
      1992         8     0.000     0.000
      1992         9     0.000     0.000
      1992        10     0.000     0.000
      1992        11     0.000     0.000
      1992        12     0.000     0.000
      1993         1     0.000     0.000
      1993         2     0.000     0.000
      1993         3     0.000     0.000
      1993         4     0.000     0.000
      1993         5    27.273     0.225
      1993         6     0.000     0.000
      1993         7     0.000     0.000
      1993         8     0.000     0.000
      1993         9     0.000     0.000
      1993        10     0.000     0.000
      1993        11     0.000     0.000
      1993        12     0.000     0.000
      1994         1     0.000     0.000
      1994         2     0.000     0.000
      1994         3     0.000     0.000
      1994         4     0.000     0.000
      1994         5     0.000     0.000
      1994         6     0.000     0.000
      1994         7     0.000     0.000
      1994         8     0.000     0.000
      1994         9     0.000     0.000
      1994        10     0.000     0.000
      1994        11     0.000     0.000
      1994        12     0.000     0.000
      1995         1     0.000     0.000
      1995         2     0.000     0.000
      1995         3     0.000     0.000
      1995         4     0.000     0.000
      1995         5     0.000     0.000
      1995         6     0.000     0.000
      1995         7     0.000     0.000
      1995         8     0.000     0.000
      1995         9     0.000     0.000
      1995        10     0.000     0.000
      1995        11     0.000     0.000
      1995        12     0.000     0.000
      1996         1     0.000     0.000
      1996         2    59.091     0.495
      1996         3   100.000     0.869
      1996         4   100.000     0.900
      1996         5    90.909     0.778
      1996         6     0.000     0.000
      1996         7     0.000     0.000
      1996         8     0.000     0.000
      1996         9     0.000     0.000
      1996        10     0.000     0.000
      1996        11     0.000     0.000
      1996        12     0.000     0.000
      1997         1     0.000     0.000
      1997         2     0.000     0.000
      1997         3     0.000     0.000
      1997         4     0.000     0.000
      1997         5     0.000     0.000
      1997         6     0.000     0.000
      1997         7     0.000     0.000
      1997         8     0.000     0.000
      1997         9     0.000     0.000
      1997        10     0.000     0.000
      1997        11   100.000     0.874
      1997        12   100.000     0.859
      1998         1    90.909     0.758
      1998         2   100.000     0.922
      1998         3   100.000     0.919
      1998         4     0.000     0.000
      1998         5    90.909     0.798
      1998         6     0.000     0.000
      1998         7    27.273     0.227
      1998         8    59.091     0.495
      1998         9     0.000     0.000
      1998        10     0.000     0.000
      1998        11     0.000     0.000
      1998        12     0.000     0.000
      1999         1     0.000     0.000
      1999         2     0.000     0.000
      1999         3     0.000     0.000
      1999         4     0.000     0.000
      1999         5     0.000     0.000
      1999         6     0.000     0.000
      1999         7     0.000     0.000
      1999         8     0.000     0.000
      1999         9     0.000     0.000
      1999        10     0.000     0.000
      1999        11     0.000     0.000
      1999        12     0.000     0.000
      2000         1     0.000     0.000
      2000         2     0.000     0.000
      2000         3     0.000     0.000
      2000         4     0.000     0.000
      2000         5     0.000     0.000
      2000         6    63.636     0.525
      2000         7     0.000     0.000
      2000         8     0.000     0.000
      2000         9     0.000     0.000
      2000        10     0.000     0.000
      2000        11     0.000     0.000
      2000        12     0.000     0.000
      2001         1     0.000     0.000
      2001         2     0.000     0.000
      2001         3     0.000     0.000
      2001         4     0.000     0.000
      2001         5     0.000     0.000
      2001         6     0.000     0.000
      2001         7     0.000     0.000
      2001         8     0.000     0.000
      2001         9     0.000     0.000
      2001        10     0.000     0.000
      2001        11     0.000     0.000
      2001        12     0.000     0.000
      2002         1     0.000     0.000
      2002         2     0.000     0.000
      2002         3     0.000     0.000
      2002         4     0.000     0.000
      2002         5     0.000     0.000
      2002         6     0.000     0.000
      2002         7     0.000     0.000
      2002         8     0.000     0.000
      2002         9     0.000     0.000
      2002        10     0.000     0.000
      2002        11     0.000     0.000
      2002        12     0.000     0.000
      2003         1     0.000     0.000
      2003         2     0.000     0.000
      2003         3     0.000     0.000
      2003         4    54.545     0.470
      2003         5   100.000     0.922
      2003         6   100.000     0.932
      2003         7   100.000     0.954
      2003         8   100.000     0.974
      2003         9   100.000     0.973
      2003        10    59.091     0.511
      2003        11    72.727     0.625
      2003        12   100.000     0.886
      2004         1    68.182     0.573
      2004         2     0.000     0.000
      2004         3    59.091     0.490
      2004         4   100.000     0.870
      2004         5    90.909     0.774
      2004         6   100.000     0.891
      2004         7   100.000     0.921
      2004         8   100.000     0.896
      2004         9    54.545     0.455
      2004        10     0.000     0.000
      2004        11     0.000     0.000
      2004        12     0.000     0.000
      2005         1     0.000     0.000
      2005         2     0.000     0.000
      2005         3     0.000     0.000
      2005         4     0.000     0.000
      2005         5     0.000     0.000
      2005         6     0.000     0.000
      2005         7     0.000     0.000
      2005         8     0.000     0.000
      2005         9     0.000     0.000
      2005        10     0.000     0.000
      2005        11   100.000     0.881
      2005        12   100.000     0.914
      2006         1   100.000     0.930
      2006         2   100.000     0.936
      2006         3   100.000     0.870
      2006         4     0.000     0.000
      2006         5     0.000     0.000
      2006         6     0.000     0.000
      2006         7     0.000     0.000
      2006         8     0.000     0.000
      2006         9     0.000     0.000
      2006        10     0.000     0.000
      2006        11     0.000     0.000
      2006        12     0.000     0.000
