     <event>        c_Id       month      nCells
          12       12001          12           5
          45      259001         259           6
          34      197001         197           6
          14       14001          14           6
          11       11001          11           7
          28      161001         161           8
          26      150001         150           9
          17       80001          80           9
          13       13001          13          10
          25      108001         108          11
          29      164001         164          11
          48      316001         316          12
          22       85001          85          12
          33      178001         178          12
          64      333001         333          12
          58      327001         327          13
          31      176001         176          13
          54      322001         322          13
          19       82001          82          13
          46      260001         260          13
          35      230001         230          13
          47      282001         282          14
          57      325001         325          15
          55      323001         323          16
          27      151001         151          16
          15       31001          31          19
          24      107001         107          20
          60      329001         329          20
          18       81001          81          20
          44      257001         257          20
          41      253001         253          20
          38      233001         233          20
          23      106001         106          21
          16       34001          34          21
          65      347001         347          22
          59      328001         328          22
          63      332001         332          22
          66      348001         348          22
          62      331001         331          22
          53      321001         321          22
          52      320001         320          22
          61      330001         330          22
          51      319001         319          22
          50      318001         318          22
          67      349001         349          22
          68      350001         350          22
          56      324001         324          22
           1        1001           1          22
          49      317001         317          22
          43      255001         255          22
          10       10001          10          22
           3        3001           3          22
           4        4001           4          22
           5        5001           5          22
           6        6001           6          22
           7        7001           7          22
           8        8001           8          22
           9        9001           9          22
          21       84001          84          22
          20       83001          83          22
          42      254001         254          22
          30      172001         172          22
          32      177001         177          22
           2        2001           2          22
          36      231001         231          22
          37      232001         232          22
          39      251001         251          22
          40      252001         252          22
          69      351001         351          22
