              i           c_Id    mStart      mEnd            aDD            aDA            TDM
              1           1001         1         1        1.00000        1.00000        4.03333
              2           2001         2         2        1.00000        1.00000        4.03333
              3           3001         3         3        1.00000        1.00000        4.03333
              4           4001         4         4        1.00000        1.00000        4.03333
              5           5001         5         5        1.00000        1.00000        4.02627
              6           6001         6         6        1.00000        1.00000        3.66183
              7           7001         7         7        1.00000        1.00000        3.63196
              8           8001         8         8        1.00000        1.00000        3.37627
              9           9001         9         9        1.00000        1.00000        3.00059
             10          10001        10        10        1.00000        1.00000        3.14348
             11          11001        11        11        1.00000        0.31818        0.64254
             12          12001        12        12        1.00000        0.22727        0.45289
             13          13001        13        13        1.00000        0.45455        0.57485
             14          14001        14        14        1.00000        0.27273        0.39300
             15          31001        31        31        1.00000        0.86364        0.65917
             16          34001        34        34        1.00000        0.95455        1.40936
             17          80001        80        80        1.00000        0.40909        0.17746
             18          81001        81        81        1.00000        0.90909        0.91977
             19          82001        82        82        1.00000        0.59091        0.34289
             20          83001        83        83        1.00000        1.00000        2.96275
             21          84001        84        84        1.00000        1.00000        2.01641
             22          85001        85        85        1.00000        0.54545        0.20186
             23         106001       106       106        1.00000        0.95455        1.16478
             24         107001       107       107        1.00000        0.90909        0.98024
             25         108001       108       108        1.00000        0.50000        0.12462
             26         150001       150       150        1.00000        0.40909        0.21917
             27         151001       151       151        1.00000        0.72727        0.67462
             28         161001       161       161        1.00000        0.36364        0.23050
             29         164001       164       164        1.00000        0.50000        0.26735
             30         172001       172       172        1.00000        1.00000        0.95153
             31         176001       176       176        1.00000        0.59091        0.35668
             32         177001       177       177        1.00000        1.00000        2.04267
             33         178001       178       178        1.00000        0.54545        0.37244
             34         197001       197       197        1.00000        0.27273        0.13985
             35         230001       230       230        1.00000        0.59091        0.49518
             36         231001       231       231        1.00000        1.00000        1.50712
             37         232001       232       232        1.00000        1.00000        2.19794
             38         233001       233       233        1.00000        0.90909        1.11627
             39         251001       251       251        1.00000        1.00000        1.63538
             40         252001       252       252        1.00000        1.00000        1.29053
             41         253001       253       253        1.00000        0.90909        0.67202
             42         254001       254       254        1.00000        1.00000        2.69131
             43         255001       255       255        1.00000        1.00000        2.61870
             44         257001       257       257        1.00000        0.90909        1.55161
             45         259001       259       259        1.00000        0.27273        0.20142
             46         260001       260       260        1.00000        0.59091        0.47922
             47         282001       282       282        1.00000        0.63636        0.34684
             48         316001       316       316        1.00000        0.54545        0.74079
             49         317001       317       317        1.00000        1.00000        2.67611
             50         318001       318       318        1.00000        1.00000        2.90514
             51         319001       319       319        1.00000        1.00000        3.39880
             52         320001       320       320        1.00000        1.00000        3.83775
             53         321001       321       321        1.00000        1.00000        3.80517
             54         322001       322       322        1.00000        0.59091        0.85107
             55         323001       323       323        1.00000        0.72727        0.94203
             56         324001       324       324        1.00000        1.00000        1.89741
             57         325001       325       325        1.00000        0.68182        0.61595
             58         327001       327       327        1.00000        0.59091        0.37743
             59         328001       328       328        1.00000        1.00000        1.53833
             60         329001       329       329        1.00000        0.90909        1.02289
             61         330001       330       330        1.00000        1.00000        2.01259
             62         331001       331       331        1.00000        1.00000        2.66076
             63         332001       332       332        1.00000        1.00000        2.11739
             64         333001       333       333        1.00000        0.54545        0.40922
             65         347001       347       347        1.00000        1.00000        1.78736
             66         348001       348       348        1.00000        1.00000        2.51315
             67         349001       349       349        1.00000        1.00000        2.85309
             68         350001       350       350        1.00000        1.00000        2.99282
             69         351001       351       351        1.00000        1.00000        1.53586
